LSOA,Borough,IMD_Score,IMD_Rank
E01000001,City of London,6.16,28814.0
E01000002,City of London,5.59,29450.0
E01000003,City of London,13.29,20047.0
E01000004,City of London,11.17,22503.0
E01000005,City of London,21.36,12978.0
E01000006,Barking and Dagenham,17.08,16410.0
E01000007,Barking and Dagenham,37.24,5438.0
E01000008,Barking and Dagenham,45.22,3172.0
E01000009,Barking and Dagenham,29.41,8462.0
E01000010,Barking and Dagenham,38.45,5038.0
E01000011,Barking and Dagenham,29.48,8421.0
E01000012,Barking and Dagenham,37.34,5400.0
E01000013,Barking and Dagenham,39.8,4626.0
E01000014,Barking and Dagenham,37.83,5235.0
E01000015,Barking and Dagenham,38.81,4926.0
E01000016,Barking and Dagenham,31.64,7495.0
E01000017,Barking and Dagenham,35.34,6099.0
E01000018,Barking and Dagenham,32.63,7073.0
E01000019,Barking and Dagenham,32.85,6993.0
E01000020,Barking and Dagenham,34.19,6486.0
E01000021,Barking and Dagenham,34.03,6542.0
E01000022,Barking and Dagenham,28.62,8839.0
E01000023,Barking and Dagenham,23.9,11340.0
E01000024,Barking and Dagenham,29.3,8512.0
E01000025,Barking and Dagenham,32.73,7034.0
E01000026,Barking and Dagenham,36.55,5669.0
E01000027,Barking and Dagenham,49.15,2355.0
E01000028,Barking and Dagenham,43.01,3695.0
E01000029,Barking and Dagenham,26.83,9710.0
E01000030,Barking and Dagenham,52.51,1773.0
E01000031,Barking and Dagenham,26.75,9754.0
E01000032,Barking and Dagenham,29.6,8363.0
E01000033,Barking and Dagenham,40.95,4274.0
E01000034,Barking and Dagenham,31.4,7596.0
E01000035,Barking and Dagenham,28.15,9045.0
E01000036,Barking and Dagenham,21.53,12845.0
E01000037,Barking and Dagenham,22.28,12349.0
E01000038,Barking and Dagenham,18.87,14866.0
E01000039,Barking and Dagenham,18.39,15265.0
E01000040,Barking and Dagenham,38.87,4909.0
E01000041,Barking and Dagenham,32.86,6985.0
E01000042,Barking and Dagenham,39.49,4715.0
E01000043,Barking and Dagenham,32.94,6958.0
E01000044,Barking and Dagenham,31.97,7359.0
E01000045,Barking and Dagenham,40.12,4529.0
E01000046,Barking and Dagenham,28.92,8690.0
E01000047,Barking and Dagenham,41.66,4069.0
E01000048,Barking and Dagenham,55.47,1338.0
E01000049,Barking and Dagenham,44.56,3328.0
E01000050,Barking and Dagenham,34.65,6339.0
E01000051,Barking and Dagenham,53.9,1557.0
E01000052,Barking and Dagenham,29.24,8534.0
E01000053,Barking and Dagenham,32.75,7023.0
E01000054,Barking and Dagenham,29.77,8295.0
E01000055,Barking and Dagenham,29.71,8317.0
E01000056,Barking and Dagenham,37.71,5285.0
E01000057,Barking and Dagenham,38.86,4910.0
E01000058,Barking and Dagenham,37.36,5393.0
E01000059,Barking and Dagenham,34.55,6376.0
E01000060,Barking and Dagenham,42.0,3969.0
E01000061,Barking and Dagenham,51.26,1959.0
E01000062,Barking and Dagenham,33.29,6806.0
E01000063,Barking and Dagenham,33.92,6578.0
E01000064,Barking and Dagenham,35.19,6151.0
E01000065,Barking and Dagenham,36.6,5654.0
E01000066,Barking and Dagenham,25.42,10437.0
E01000067,Barking and Dagenham,23.07,11857.0
E01000068,Barking and Dagenham,23.35,11683.0
E01000069,Barking and Dagenham,15.88,17446.0
E01000070,Barking and Dagenham,20.42,13683.0
E01000071,Barking and Dagenham,16.91,16553.0
E01000072,Barking and Dagenham,42.4,3860.0
E01000073,Barking and Dagenham,36.42,5726.0
E01000074,Barking and Dagenham,32.27,7230.0
E01000075,Barking and Dagenham,34.92,6245.0
E01000076,Barking and Dagenham,42.34,3876.0
E01000077,Barking and Dagenham,34.7,6324.0
E01000078,Barking and Dagenham,37.66,5302.0
E01000079,Barking and Dagenham,35.19,6148.0
E01000080,Barking and Dagenham,34.22,6477.0
E01000081,Barking and Dagenham,32.4,7171.0
E01000082,Barking and Dagenham,35.6,6002.0
E01000083,Barking and Dagenham,37.6,5316.0
E01000084,Barking and Dagenham,35.69,5979.0
E01000085,Barking and Dagenham,39.16,4823.0
E01000086,Barking and Dagenham,32.43,7157.0
E01000087,Barking and Dagenham,35.56,6017.0
E01000088,Barking and Dagenham,27.83,9221.0
E01000089,Barking and Dagenham,29.74,8310.0
E01000090,Barking and Dagenham,26.75,9755.0
E01000091,Barking and Dagenham,46.83,2801.0
E01000092,Barking and Dagenham,27.63,9310.0
E01000093,Barking and Dagenham,48.79,2420.0
E01000094,Barking and Dagenham,31.81,7422.0
E01000095,Barking and Dagenham,32.91,6966.0
E01000096,Barking and Dagenham,51.18,1974.0
E01000097,Barking and Dagenham,36.8,5577.0
E01000098,Barking and Dagenham,34.68,6330.0
E01000099,Barking and Dagenham,36.96,5518.0
E01000100,Barking and Dagenham,35.92,5890.0
E01000101,Barking and Dagenham,37.97,5184.0
E01000102,Barking and Dagenham,34.61,6352.0
E01000103,Barking and Dagenham,39.99,4565.0
E01000104,Barking and Dagenham,48.43,2491.0
E01000105,Barking and Dagenham,43.33,3624.0
E01000106,Barking and Dagenham,46.26,2929.0
E01000107,Barking and Dagenham,25.6,10346.0
E01000108,Barking and Dagenham,26.87,9690.0
E01000109,Barking and Dagenham,29.44,8443.0
E01000110,Barking and Dagenham,19.07,14694.0
E01000111,Barking and Dagenham,30.51,7970.0
E01000112,Barking and Dagenham,26.37,9952.0
E01000113,Barking and Dagenham,20.16,13878.0
E01000114,Barking and Dagenham,26.76,9746.0
E01000115,Barnet,4.64,30415.0
E01000116,Barnet,9.08,25246.0
E01000117,Barnet,10.51,23350.0
E01000118,Barnet,12.97,20445.0
E01000119,Barnet,9.63,24520.0
E01000120,Barnet,7.29,27438.0
E01000121,Barnet,31.93,7372.0
E01000122,Barnet,8.95,25408.0
E01000123,Barnet,13.39,19921.0
E01000124,Barnet,25.33,10481.0
E01000125,Barnet,36.42,5727.0
E01000126,Barnet,32.73,7035.0
E01000127,Barnet,23.71,11459.0
E01000128,Barnet,22.71,12081.0
E01000129,Barnet,34.27,6464.0
E01000130,Barnet,27.47,9384.0
E01000131,Barnet,17.79,15787.0
E01000132,Barnet,26.09,10096.0
E01000133,Barnet,28.77,8766.0
E01000134,Barnet,22.66,12113.0
E01000135,Barnet,9.63,24508.0
E01000136,Barnet,10.24,23716.0
E01000137,Barnet,30.81,7846.0
E01000138,Barnet,19.67,14238.0
E01000139,Barnet,14.44,18766.0
E01000140,Barnet,17.85,15734.0
E01000141,Barnet,28.41,8929.0
E01000142,Barnet,20.36,13727.0
E01000143,Barnet,29.0,8656.0
E01000144,Barnet,13.75,19535.0
E01000145,Barnet,9.15,25160.0
E01000146,Barnet,14.4,18802.0
E01000147,Barnet,14.79,18447.0
E01000148,Barnet,26.22,10035.0
E01000149,Barnet,14.26,18936.0
E01000150,Barnet,19.48,14384.0
E01000151,Barnet,37.22,5443.0
E01000152,Barnet,34.9,6252.0
E01000153,Barnet,38.47,5029.0
E01000154,Barnet,43.35,3620.0
E01000155,Barnet,22.73,12065.0
E01000156,Barnet,15.28,17996.0
E01000157,Barnet,16.44,16970.0
E01000158,Barnet,18.18,15431.0
E01000159,Barnet,16.33,17057.0
E01000160,Barnet,11.47,22153.0
E01000161,Barnet,13.99,19240.0
E01000162,Barnet,19.02,14736.0
E01000163,Barnet,29.6,8367.0
E01000164,Barnet,28.48,8902.0
E01000165,Barnet,11.32,22327.0
E01000166,Barnet,13.87,19388.0
E01000167,Barnet,21.75,12700.0
E01000168,Barnet,5.6,29438.0
E01000169,Barnet,10.21,23759.0
E01000170,Barnet,17.99,15594.0
E01000171,Barnet,17.63,15920.0
E01000172,Barnet,8.68,25752.0
E01000173,Barnet,8.46,26013.0
E01000174,Barnet,15.68,17639.0
E01000175,Barnet,8.4,26105.0
E01000176,Barnet,26.83,9711.0
E01000177,Barnet,10.99,22740.0
E01000178,Barnet,14.64,18584.0
E01000179,Barnet,12.61,20839.0
E01000180,Barnet,17.16,16321.0
E01000181,Barnet,13.86,19398.0
E01000182,Barnet,10.79,22981.0
E01000183,Barnet,12.4,21060.0
E01000184,Barnet,43.7,3519.0
E01000185,Barnet,35.98,5875.0
E01000186,Barnet,6.81,28057.0
E01000187,Barnet,13.87,19384.0
E01000188,Barnet,6.97,27856.0
E01000189,Barnet,42.14,3935.0
E01000190,Barnet,10.97,22768.0
E01000191,Barnet,9.18,25118.0
E01000192,Barnet,15.35,17936.0
E01000193,Barnet,14.19,19019.0
E01000194,Barnet,20.57,13567.0
E01000195,Barnet,29.33,8495.0
E01000196,Barnet,11.87,21686.0
E01000197,Barnet,12.58,20871.0
E01000198,Barnet,11.04,22675.0
E01000199,Barnet,8.59,25851.0
E01000200,Barnet,12.68,20751.0
E01000201,Barnet,7.74,26899.0
E01000202,Barnet,9.17,25126.0
E01000203,Barnet,22.81,12013.0
E01000204,Barnet,10.55,23285.0
E01000205,Barnet,6.98,27845.0
E01000206,Barnet,9.52,24660.0
E01000207,Barnet,6.63,28272.0
E01000208,Barnet,7.89,26727.0
E01000209,Barnet,8.53,25928.0
E01000210,Barnet,8.39,26119.0
E01000211,Barnet,15.95,17370.0
E01000212,Barnet,8.49,25992.0
E01000213,Barnet,9.43,24783.0
E01000214,Barnet,10.79,22976.0
E01000215,Barnet,12.04,21492.0
E01000216,Barnet,11.38,22250.0
E01000217,Barnet,10.38,23531.0
E01000218,Barnet,11.77,21809.0
E01000219,Barnet,13.65,19637.0
E01000220,Barnet,16.93,16533.0
E01000221,Barnet,36.68,5626.0
E01000222,Barnet,24.86,10749.0
E01000223,Barnet,32.67,7057.0
E01000224,Barnet,17.25,16239.0
E01000225,Barnet,11.13,22546.0
E01000226,Barnet,28.07,9092.0
E01000227,Barnet,10.72,23087.0
E01000228,Barnet,12.83,20583.0
E01000229,Barnet,23.51,11576.0
E01000230,Barnet,8.5,25981.0
E01000231,Barnet,15.62,17687.0
E01000232,Barnet,13.82,19447.0
E01000233,Barnet,12.17,21344.0
E01000234,Barnet,9.25,25034.0
E01000235,Barnet,23.52,11568.0
E01000236,Barnet,16.71,16734.0
E01000237,Barnet,14.46,18757.0
E01000238,Barnet,16.42,16996.0
E01000239,Barnet,18.71,14994.0
E01000240,Barnet,17.8,15779.0
E01000241,Barnet,11.93,21606.0
E01000242,Barnet,16.46,16958.0
E01000243,Barnet,17.63,15916.0
E01000244,Barnet,14.49,18726.0
E01000245,Barnet,31.84,7410.0
E01000246,Barnet,9.94,24102.0
E01000247,Barnet,10.87,22872.0
E01000248,Barnet,10.17,23801.0
E01000249,Barnet,5.33,29706.0
E01000250,Barnet,12.87,20542.0
E01000251,Barnet,22.9,11959.0
E01000252,Barnet,15.95,17371.0
E01000253,Barnet,10.12,23868.0
E01000254,Barnet,7.11,27678.0
E01000255,Barnet,18.03,15557.0
E01000256,Barnet,12.13,21385.0
E01000257,Barnet,30.57,7943.0
E01000258,Barnet,11.34,22293.0
E01000259,Barnet,12.28,21210.0
E01000260,Barnet,19.06,14696.0
E01000261,Barnet,8.45,26029.0
E01000262,Barnet,15.17,18096.0
E01000263,Barnet,5.41,29649.0
E01000264,Barnet,14.6,18621.0
E01000265,Barnet,19.97,14019.0
E01000266,Barnet,8.52,25947.0
E01000267,Barnet,11.03,22685.0
E01000268,Barnet,20.93,13289.0
E01000269,Barnet,9.52,24654.0
E01000270,Barnet,9.77,24342.0
E01000271,Barnet,7.84,26782.0
E01000272,Barnet,5.71,29327.0
E01000273,Barnet,14.68,18547.0
E01000274,Barnet,18.99,14763.0
E01000275,Barnet,11.55,22074.0
E01000276,Barnet,5.31,29726.0
E01000277,Barnet,18.01,15573.0
E01000278,Barnet,5.48,29556.0
E01000279,Barnet,7.74,26897.0
E01000280,Barnet,4.29,30768.0
E01000281,Barnet,13.24,20112.0
E01000282,Barnet,10.13,23840.0
E01000283,Barnet,4.7,30365.0
E01000284,Barnet,18.69,15019.0
E01000285,Barnet,13.57,19727.0
E01000286,Barnet,21.96,12569.0
E01000287,Barnet,22.5,12215.0
E01000288,Barnet,12.78,20654.0
E01000289,Barnet,35.53,6032.0
E01000290,Barnet,18.59,15112.0
E01000291,Barnet,29.3,8510.0
E01000292,Barnet,10.24,23720.0
E01000293,Barnet,6.97,27855.0
E01000294,Barnet,12.67,20758.0
E01000295,Barnet,14.57,18648.0
E01000296,Barnet,16.02,17324.0
E01000297,Barnet,15.79,17530.0
E01000298,Barnet,13.58,19723.0
E01000299,Barnet,16.91,16558.0
E01000300,Barnet,10.97,22759.0
E01000301,Barnet,7.42,27283.0
E01000302,Barnet,19.52,14351.0
E01000303,Barnet,7.83,26793.0
E01000304,Barnet,15.38,17909.0
E01000305,Barnet,25.13,10603.0
E01000306,Barnet,18.84,14895.0
E01000307,Barnet,22.39,12296.0
E01000308,Barnet,37.0,5509.0
E01000309,Barnet,12.05,21477.0
E01000310,Barnet,18.67,15033.0
E01000311,Barnet,11.66,21940.0
E01000312,Barnet,21.35,12994.0
E01000313,Barnet,27.1,9580.0
E01000314,Barnet,14.32,18880.0
E01000315,Barnet,31.54,7543.0
E01000316,Barnet,20.31,13761.0
E01000317,Barnet,15.92,17402.0
E01000318,Barnet,12.9,20513.0
E01000319,Barnet,9.71,24406.0
E01000320,Barnet,9.68,24441.0
E01000321,Barnet,16.54,16879.0
E01000322,Barnet,16.34,17051.0
E01000323,Barnet,21.03,13233.0
E01000324,Barnet,14.64,18582.0
E01000325,Bexley,6.61,28291.0
E01000326,Bexley,13.37,19956.0
E01000327,Bexley,8.19,26359.0
E01000328,Bexley,7.45,27249.0
E01000329,Bexley,17.4,16106.0
E01000330,Bexley,15.76,17554.0
E01000331,Bexley,24.75,10815.0
E01000332,Bexley,19.7,14207.0
E01000333,Bexley,26.87,9691.0
E01000334,Bexley,16.31,17077.0
E01000335,Bexley,30.14,8139.0
E01000336,Bexley,37.1,5485.0
E01000337,Bexley,21.6,12805.0
E01000338,Bexley,22.82,12008.0
E01000339,Bexley,12.62,20816.0
E01000340,Bexley,10.59,23231.0
E01000341,Bexley,8.96,25388.0
E01000342,Bexley,8.95,25414.0
E01000343,Bexley,7.73,26918.0
E01000344,Bexley,8.54,25910.0
E01000345,Bexley,6.04,28939.0
E01000346,Bexley,8.52,25945.0
E01000347,Bexley,11.47,22150.0
E01000348,Bexley,3.79,31208.0
E01000349,Bexley,5.44,29611.0
E01000350,Bexley,7.14,27640.0
E01000351,Bexley,7.18,27583.0
E01000352,Bexley,15.89,17438.0
E01000353,Bexley,4.25,30808.0
E01000354,Bexley,18.1,15503.0
E01000355,Bexley,11.47,22161.0
E01000356,Bexley,7.6,27071.0
E01000357,Bexley,4.72,30342.0
E01000358,Bexley,8.45,26028.0
E01000359,Bexley,5.5,29534.0
E01000360,Bexley,18.26,15366.0
E01000361,Bexley,11.14,22539.0
E01000362,Bexley,11.15,22526.0
E01000363,Bexley,8.32,26191.0
E01000364,Bexley,11.71,21889.0
E01000365,Bexley,15.2,18073.0
E01000366,Bexley,10.9,22842.0
E01000367,Bexley,37.59,5320.0
E01000368,Bexley,32.74,7030.0
E01000369,Bexley,13.38,19947.0
E01000370,Bexley,10.39,23511.0
E01000371,Bexley,11.8,21773.0
E01000372,Bexley,28.99,8660.0
E01000373,Bexley,40.53,4420.0
E01000374,Bexley,37.44,5359.0
E01000375,Bexley,21.2,13106.0
E01000376,Bexley,14.32,18869.0
E01000377,Bexley,12.28,21212.0
E01000378,Bexley,24.85,10758.0
E01000379,Bexley,19.45,14408.0
E01000380,Bexley,24.87,10746.0
E01000381,Bexley,26.28,10003.0
E01000382,Bexley,8.82,25562.0
E01000383,Bexley,18.66,15045.0
E01000384,Bexley,11.3,22359.0
E01000385,Bexley,37.75,5266.0
E01000386,Bexley,41.04,4250.0
E01000387,Bexley,14.26,18937.0
E01000388,Bexley,9.22,25062.0
E01000389,Bexley,10.3,23643.0
E01000390,Bexley,12.25,21243.0
E01000391,Bexley,14.79,18451.0
E01000392,Bexley,23.39,11661.0
E01000393,Bexley,10.35,23571.0
E01000394,Bexley,8.81,25566.0
E01000395,Bexley,6.78,28097.0
E01000396,Bexley,8.75,25652.0
E01000397,Bexley,28.96,8675.0
E01000398,Bexley,20.71,13460.0
E01000399,Bexley,9.6,24543.0
E01000400,Bexley,14.72,18511.0
E01000401,Bexley,25.43,10431.0
E01000402,Bexley,22.07,12499.0
E01000403,Bexley,34.27,6460.0
E01000404,Bexley,33.06,6917.0
E01000405,Bexley,27.11,9574.0
E01000406,Bexley,23.8,11406.0
E01000407,Bexley,15.56,17738.0
E01000408,Bexley,21.39,12957.0
E01000409,Bexley,7.92,26689.0
E01000410,Bexley,7.35,27367.0
E01000411,Bexley,8.07,26508.0
E01000412,Bexley,11.21,22460.0
E01000413,Bexley,11.39,22247.0
E01000414,Bexley,18.04,15549.0
E01000415,Bexley,6.21,28754.0
E01000416,Bexley,31.46,7577.0
E01000417,Bexley,18.82,14905.0
E01000418,Bexley,22.84,11995.0
E01000419,Bexley,8.91,25450.0
E01000420,Bexley,11.55,22075.0
E01000421,Bexley,7.28,27449.0
E01000422,Bexley,39.21,4805.0
E01000423,Bexley,3.62,31346.0
E01000424,Bexley,9.66,24466.0
E01000425,Bexley,6.61,28292.0
E01000426,Bexley,11.9,21637.0
E01000427,Bexley,13.13,20239.0
E01000428,Bexley,21.36,12986.0
E01000429,Bexley,36.49,5694.0
E01000430,Bexley,16.78,16669.0
E01000431,Bexley,41.06,4239.0
E01000432,Bexley,24.63,10890.0
E01000433,Bexley,41.48,4123.0
E01000434,Bexley,39.7,4650.0
E01000435,Bexley,30.45,8005.0
E01000436,Bexley,5.18,29864.0
E01000437,Bexley,11.96,21567.0
E01000438,Bexley,14.16,19057.0
E01000439,Bexley,28.47,8908.0
E01000440,Bexley,6.31,28634.0
E01000441,Bexley,25.21,10554.0
E01000442,Bexley,12.53,20921.0
E01000443,Bexley,19.67,14232.0
E01000444,Bexley,5.4,29656.0
E01000445,Bexley,5.26,29783.0
E01000446,Bexley,8.46,26017.0
E01000447,Bexley,10.73,23058.0
E01000448,Bexley,2.92,31871.0
E01000449,Bexley,3.86,31154.0
E01000450,Bexley,19.37,14473.0
E01000451,Bexley,8.76,25644.0
E01000452,Bexley,6.35,28573.0
E01000453,Bexley,7.96,26647.0
E01000454,Bexley,20.81,13384.0
E01000455,Bexley,10.4,23502.0
E01000456,Bexley,7.07,27727.0
E01000457,Bexley,13.16,20199.0
E01000458,Bexley,5.1,29949.0
E01000459,Bexley,13.6,19689.0
E01000460,Bexley,3.79,31210.0
E01000461,Bexley,6.77,28105.0
E01000462,Bexley,11.37,22258.0
E01000463,Bexley,5.3,29733.0
E01000464,Bexley,33.42,6767.0
E01000465,Bexley,28.79,8759.0
E01000466,Bexley,28.65,8821.0
E01000467,Bexley,25.5,10394.0
E01000468,Bexley,20.03,13981.0
E01000469,Bexley,21.64,12777.0
E01000470,Bexley,39.88,4598.0
E01000471,Brent,23.22,11775.0
E01000472,Brent,25.44,10429.0
E01000473,Brent,23.07,11856.0
E01000474,Brent,24.58,10915.0
E01000475,Brent,21.43,12928.0
E01000476,Brent,20.81,13385.0
E01000477,Brent,27.72,9267.0
E01000478,Brent,24.12,11204.0
E01000479,Brent,16.55,16867.0
E01000480,Brent,18.38,15273.0
E01000481,Brent,28.54,8879.0
E01000482,Brent,61.33,716.0
E01000483,Brent,43.57,3561.0
E01000484,Brent,35.7,5974.0
E01000485,Brent,29.77,8296.0
E01000486,Brent,16.81,16648.0
E01000487,Brent,24.13,11197.0
E01000488,Brent,27.38,9428.0
E01000489,Brent,22.73,12066.0
E01000490,Brent,30.48,7984.0
E01000491,Brent,27.77,9248.0
E01000492,Brent,16.99,16476.0
E01000493,Brent,15.2,18072.0
E01000494,Brent,26.6,9840.0
E01000495,Brent,39.06,4853.0
E01000496,Brent,26.59,9841.0
E01000497,Brent,24.7,10843.0
E01000498,Brent,26.88,9687.0
E01000499,Brent,31.29,7635.0
E01000500,Brent,31.62,7512.0
E01000501,Brent,40.81,4324.0
E01000502,Brent,22.12,12468.0
E01000503,Brent,33.5,6738.0
E01000504,Brent,30.57,7944.0
E01000505,Brent,26.48,9898.0
E01000506,Brent,38.75,4949.0
E01000507,Brent,24.45,11003.0
E01000508,Brent,43.86,3470.0
E01000509,Brent,30.0,8193.0
E01000510,Brent,29.86,8256.0
E01000511,Brent,29.9,8238.0
E01000512,Brent,24.43,11019.0
E01000513,Brent,20.7,13473.0
E01000514,Brent,18.86,14878.0
E01000515,Brent,36.41,5734.0
E01000516,Brent,22.25,12369.0
E01000517,Brent,16.9,16563.0
E01000518,Brent,27.82,9224.0
E01000519,Brent,24.23,11141.0
E01000520,Brent,27.29,9485.0
E01000521,Brent,50.79,2042.0
E01000522,Brent,33.74,6640.0
E01000523,Brent,43.26,3638.0
E01000524,Brent,51.59,1913.0
E01000525,Brent,37.96,5191.0
E01000526,Brent,51.56,1919.0
E01000527,Brent,43.33,3625.0
E01000528,Brent,49.95,2186.0
E01000529,Brent,54.01,1540.0
E01000530,Brent,20.97,13264.0
E01000531,Brent,32.81,7004.0
E01000532,Brent,27.39,9425.0
E01000533,Brent,46.32,2916.0
E01000534,Brent,27.51,9365.0
E01000535,Brent,31.0,7752.0
E01000536,Brent,13.58,19719.0
E01000537,Brent,23.84,11370.0
E01000538,Brent,11.72,21884.0
E01000539,Brent,13.55,19755.0
E01000540,Brent,13.11,20263.0
E01000541,Brent,21.91,12589.0
E01000542,Brent,15.49,17790.0
E01000543,Brent,26.19,10051.0
E01000544,Brent,50.55,2087.0
E01000545,Brent,35.14,6168.0
E01000546,Brent,28.45,8913.0
E01000547,Brent,27.39,9424.0
E01000548,Brent,48.28,2523.0
E01000549,Brent,26.56,9863.0
E01000550,Brent,57.57,1096.0
E01000551,Brent,61.25,727.0
E01000552,Brent,51.69,1891.0
E01000553,Brent,37.44,5362.0
E01000554,Brent,28.64,8828.0
E01000555,Brent,19.39,14451.0
E01000556,Brent,41.14,4218.0
E01000557,Brent,23.68,11478.0
E01000558,Brent,32.68,7054.0
E01000559,Brent,27.27,9495.0
E01000560,Brent,22.65,12120.0
E01000561,Brent,32.61,7089.0
E01000562,Brent,15.19,18081.0
E01000563,Brent,16.14,17229.0
E01000564,Brent,24.29,11104.0
E01000565,Brent,28.59,8854.0
E01000566,Brent,21.22,13085.0
E01000567,Brent,21.33,13011.0
E01000568,Brent,15.97,17352.0
E01000569,Brent,15.15,18120.0
E01000570,Brent,28.28,8981.0
E01000571,Brent,21.15,13148.0
E01000572,Brent,18.38,15269.0
E01000573,Brent,21.15,13146.0
E01000574,Brent,20.21,13835.0
E01000575,Brent,21.24,13071.0
E01000576,Brent,17.12,16366.0
E01000577,Brent,31.77,7445.0
E01000578,Brent,23.29,11730.0
E01000579,Brent,28.81,8751.0
E01000580,Brent,30.31,8068.0
E01000581,Brent,21.69,12741.0
E01000582,Brent,20.98,13255.0
E01000583,Brent,35.24,6131.0
E01000584,Brent,18.47,15200.0
E01000585,Brent,25.04,10651.0
E01000586,Brent,33.2,6847.0
E01000587,Brent,17.63,15919.0
E01000588,Brent,29.59,8369.0
E01000589,Brent,24.99,10678.0
E01000590,Brent,16.68,16760.0
E01000591,Brent,22.54,12182.0
E01000592,Brent,20.51,13614.0
E01000593,Brent,24.47,10991.0
E01000594,Brent,21.97,12561.0
E01000595,Brent,55.77,1294.0
E01000596,Brent,54.33,1504.0
E01000597,Brent,47.25,2724.0
E01000598,Brent,62.29,645.0
E01000599,Brent,48.79,2415.0
E01000600,Brent,59.16,893.0
E01000601,Brent,54.82,1437.0
E01000602,Brent,53.6,1605.0
E01000603,Brent,36.57,5658.0
E01000604,Brent,53.74,1583.0
E01000605,Brent,46.36,2905.0
E01000606,Brent,26.14,10076.0
E01000607,Brent,22.47,12228.0
E01000608,Brent,25.94,10172.0
E01000609,Brent,27.17,9548.0
E01000610,Brent,26.86,9692.0
E01000611,Brent,32.1,7302.0
E01000612,Brent,22.53,12193.0
E01000613,Brent,29.58,8373.0
E01000614,Brent,24.01,11275.0
E01000615,Brent,23.81,11393.0
E01000616,Brent,23.3,11725.0
E01000617,Brent,25.66,10314.0
E01000618,Brent,21.24,13072.0
E01000619,Brent,20.87,13339.0
E01000620,Brent,23.84,11372.0
E01000621,Brent,25.13,10604.0
E01000622,Brent,32.53,7118.0
E01000623,Brent,21.19,13111.0
E01000624,Brent,21.45,12911.0
E01000625,Brent,22.99,11903.0
E01000626,Brent,48.31,2515.0
E01000627,Brent,37.36,5390.0
E01000628,Brent,32.22,7258.0
E01000629,Brent,21.66,12766.0
E01000630,Brent,41.3,4177.0
E01000631,Brent,22.74,12058.0
E01000632,Brent,22.69,12095.0
E01000633,Brent,32.38,7184.0
E01000634,Brent,29.79,8284.0
E01000635,Brent,33.68,6665.0
E01000636,Brent,23.45,11617.0
E01000637,Brent,32.58,7099.0
E01000638,Brent,38.74,4952.0
E01000639,Brent,29.98,8202.0
E01000640,Brent,38.41,5048.0
E01000641,Brent,38.1,5144.0
E01000642,Brent,37.73,5275.0
E01000643,Brent,55.76,1296.0
E01000644,Brent,32.34,7201.0
E01000645,Bromley,5.87,29130.0
E01000646,Bromley,9.8,24281.0
E01000647,Bromley,8.89,25474.0
E01000648,Bromley,7.51,27178.0
E01000649,Bromley,9.09,25233.0
E01000650,Bromley,12.2,21300.0
E01000651,Bromley,9.56,24603.0
E01000652,Bromley,5.84,29177.0
